step,O2,IFN,IL2,IL10,TGFB,CCL2,ARGI,NO,IL12,VEGFA
161,7.9094e-06,4.92604e-07,3.85642e-05,2.72213e-05,3.83503e-05,0.0,4.61218e-05,8.46018e-06,4.824e-07,3.53479e-05
162,0.0,4.93152e-07,3.84309e-05,2.72092e-05,3.94038e-05,0.000177172,4.61205e-05,8.41923e-06,4.89497e-07,3.53484e-05
163,7.90931e-06,4.96411e-07,3.85429e-05,2.72019e-05,3.77841e-05,0.0,4.61184e-05,8.3874e-06,4.95981e-07,3.5323e-05
164,0.0,4.9867e-07,3.84013e-05,2.71975e-05,3.92929e-05,0.00017719,4.61157e-05,8.35935e-06,5.01827e-07,3.53511e-05
165,7.90915e-06,5.00565e-07,3.85378e-05,2.71947e-05,3.79354e-05,0.0,4.61128e-05,8.33332e-06,5.07043e-07,3.54087e-05
166,0.0,5.01859e-07,3.83829e-05,2.71928e-05,3.94998e-05,0.000178574,4.61098e-05,8.30857e-06,5.11658e-07,3.54171e-05
167,7.90921e-06,5.01883e-07,3.85395e-05,2.71913e-05,3.80782e-05,0.0,4.61071e-05,8.28474e-06,5.15714e-07,3.54122e-05
168,0.0,5.01058e-07,3.8359e-05,2.71893e-05,3.93905e-05,0.000178285,4.61045e-05,8.26166e-06,5.19259e-07,3.54088e-05
169,7.90895e-06,4.98843e-07,3.84944e-05,2.71869e-05,3.82287e-05,0.0,4.61022e-05,8.23919e-06,5.22342e-07,3.54349e-05
170,0.0,4.97531e-07,3.82917e-05,2.71845e-05,3.88625e-05,0.000178954,4.61001e-05,8.21712e-06,5.25013e-07,3.54448e-05
171,7.90865e-06,4.95115e-07,3.84573e-05,2.71827e-05,3.80949e-05,0.0,4.60981e-05,8.19482e-06,5.27319e-07,3.54598e-05
172,0.0,4.92235e-07,3.82948e-05,2.71814e-05,3.8923e-05,0.000179543,4.60963e-05,8.17253e-06,5.29305e-07,3.54662e-05
173,7.90868e-06,4.92014e-07,3.84345e-05,2.71804e-05,3.82886e-05,0.0,4.60947e-05,8.15008e-06,5.3101e-07,3.5509e-05
174,0.0,4.92119e-07,3.82807e-05,2.71791e-05,3.86238e-05,0.000179689,4.60932e-05,8.1277e-06,5.32471e-07,3.54713e-05
175,7.90858e-06,4.92371e-07,3.84081e-05,2.69999e-05,3.85378e-05,0.0,4.60918e-05,8.10537e-06,5.33721e-07,3.55106e-05
176,0.0,4.91278e-07,3.81709e-05,2.68318e-05,3.85126e-05,0.000182481,4.60906e-05,8.08251e-06,5.34788e-07,3.55678e-05
177,7.90843e-06,4.919e-07,3.83365e-05,2.67469e-05,3.79655e-05,0.0,4.60894e-05,8.05937e-06,5.35697e-07,3.55594e-05
178,0.0,4.90943e-07,3.78573e-05,2.67041e-05,3.79902e-05,0.000182544,4.60883e-05,8.03618e-06,5.36472e-07,3.55754e-05
179,7.90829e-06,4.92116e-07,3.79067e-05,2.66816e-05,3.80009e-05,0.0,4.60874e-05,8.01305e-06,5.3713e-07,3.55879e-05
180,0.0,4.91949e-07,3.82795e-05,2.66691e-05,3.86143e-05,0.00018219,4.60864e-05,7.98992e-06,5.37689e-07,3.55595e-05
181,7.90818e-06,4.92121e-07,3.84298e-05,2.66618e-05,3.82733e-05,0.0,4.60856e-05,7.96684e-06,5.38164e-07,3.55846e-05
182,0.0,4.91773e-07,3.86345e-05,2.66573e-05,3.83555e-05,0.000182862,4.60848e-05,7.94389e-06,5.38566e-07,3.55882e-05
183,7.90823e-06,4.91954e-07,3.87809e-05,2.6642e-05,3.85115e-05,0.0,4.6084e-05,7.92117e-06,5.38907e-07,3.56386e-05
