agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,128,23,29,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,129,23,28,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,130,24,27,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,131,23,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,132,23,27,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,133,23,27,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,134,24,28,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,135,21,28,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,136,23,28,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,137,23,28,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,138,22,28,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,139,22,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,140,23,30,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,141,23,28,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,142,23,30,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,143,22,29,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,144,21,30,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,145,24,30,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,146,23,30,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,147,23,30,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,148,23,30,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,149,22,19,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,150,26,19,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,151,24,20,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,152,24,18,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,153,22,20,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,154,25,20,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,155,23,22,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,156,23,21,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,157,24,22,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,158,24,21,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,159,25,22,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,160,24,20,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,161,24,21,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,162,24,23,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,163,24,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,164,24,22,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,165,24,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,166,24,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,167,24,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,168,25,23,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,169,24,22,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,170,24,23,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,171,24,24,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,172,24,24,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,173,24,24,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,174,25,25,25,STEM,divideCD=7;divideFlag=1
CANCER,175,24,24,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,176,24,24,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,177,23,23,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,178,24,24,31,PROGENITOR,divideCD=2;divideFlag=1
CANCER,179,23,26,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,180,23,27,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,181,24,25,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,182,25,25,24,STEM,divideCD=7;divideFlag=1
CANCER,183,25,26,26,STEM,divideCD=7;divideFlag=1
CANCER,184,23,25,28,STEM,divideCD=7;divideFlag=1
CANCER,185,24,25,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,186,24,26,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,187,25,25,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,188,24,25,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,189,24,28,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,190,24,26,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,191,24,26,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,192,24,25,25,STEM,divideCD=7;divideFlag=1
CANCER,193,24,26,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,194,24,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,195,23,25,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,196,24,27,32,PROGENITOR,divideCD=2;divideFlag=1
CANCER,197,25,28,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,198,25,27,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,199,24,29,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,200,25,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,201,24,27,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,202,24,27,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,203,25,27,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,204,24,27,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,205,23,28,31,PROGENITOR,divideCD=2;divideFlag=1
CANCER,206,23,27,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,207,24,29,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,208,24,29,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,209,24,28,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,210,25,28,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,211,24,30,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,212,23,30,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,213,25,30,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,214,22,29,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,215,24,31,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,216,24,29,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,217,26,29,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,218,25,20,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,219,27,20,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,220,26,19,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,221,25,20,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,222,28,21,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,223,25,21,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,224,23,21,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,225,27,20,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,226,24,21,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,227,25,22,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,228,25,22,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,229,26,21,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,230,25,22,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,231,25,21,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,232,25,22,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,233,26,22,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,234,26,21,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,235,24,22,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,236,25,23,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,237,25,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,238,26,24,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,239,25,23,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,240,25,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,241,25,24,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,242,25,23,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,243,26,22,31,PROGENITOR,divideCD=2;divideFlag=1
CANCER,244,25,23,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,245,24,23,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,246,26,24,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,247,27,24,22,STEM,divideCD=7;divideFlag=1
CANCER,248,26,24,25,STEM,divideCD=7;divideFlag=1
CANCER,249,24,25,27,STEM,divideCD=7;divideFlag=1
CANCER,250,25,24,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,251,26,24,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,252,25,24,31,PROGENITOR,divideCD=2;divideFlag=1
CANCER,253,24,25,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,254,25,24,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,255,25,25,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,256,26,25,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,257,27,25,25,STEM,divideCD=7;divideFlag=1
CANCER,258,25,27,25,STEM,divideCD=7;divideFlag=1
CANCER,259,26,25,28,STEM,divideCD=7;divideFlag=1
CANCER,260,25,25,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,261,26,25,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,262,25,25,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,263,25,25,32,PROGENITOR,divideCD=2;divideFlag=1
CANCER,264,26,26,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,265,25,26,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,266,25,26,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,267,25,26,24,STEM,divideCD=7;divideFlag=1
CANCER,268,26,26,26,STEM,divideCD=7;divideFlag=1
CANCER,269,27,28,29,STEM,divideCD=7;divideFlag=1
CANCER,270,26,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,271,25,26,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,272,26,26,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,273,25,26,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,274,26,27,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,275,25,27,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,276,25,28,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,277,25,27,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,278,25,28,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,279,26,28,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,280,25,28,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,281,25,26,32,PROGENITOR,divideCD=2;divideFlag=1
CANCER,282,28,28,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,283,26,28,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,284,25,29,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,285,25,29,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,286,25,28,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,287,25,29,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,288,25,28,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,289,25,29,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,290,24,28,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,291,24,29,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,292,26,30,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,293,23,29,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,294,24,29,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,295,27,30,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,296,24,31,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,297,26,30,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,298,25,31,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,299,28,21,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,300,26,20,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,301,26,19,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,302,25,21,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,303,28,21,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,304,26,22,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,305,26,21,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,306,28,22,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,307,26,22,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,308,25,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,309,27,22,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,310,26,21,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,311,26,23,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,312,26,23,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,313,24,23,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,314,26,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,315,27,23,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,316,26,23,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,317,26,23,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,318,27,23,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,319,25,23,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,320,27,23,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,321,26,24,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,322,28,24,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,323,28,24,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,324,26,25,26,STEM,divideCD=7;divideFlag=1
CANCER,325,25,24,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,326,25,24,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,327,26,25,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,328,26,24,32,PROGENITOR,divideCD=2;divideFlag=1
CANCER,329,27,24,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,330,26,24,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,331,26,25,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,332,26,23,23,STEM,divideCD=7;divideFlag=1
CANCER,333,27,26,26,STEM,divideCD=7;divideFlag=1
CANCER,334,26,24,27,STEM,divideCD=7;divideFlag=1
CANCER,335,27,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,336,26,25,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,337,25,27,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,338,26,28,20,PROGENITOR,divideCD=2;divideFlag=1
